Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCaus,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod,Start Date,End Date,Jurisdiction of Occurrence
2019,2,F,Non-Hispanic Black,15-24 years,120,52,,,,0,,,,0,,19,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic Black,25-34 years,268,173,,25,15,0,,,,,,38,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic Black,35-44 years,497,395,,103,17,0,11,,12,11,,86,22,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic Black,45-54 years,956,848,18,257,43,,19,21,10,30,,219,49,0,0,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic Black,55-64 years,"2,182",2080,54,674,119,10,52,112,30,58,12,472,98,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic Black,65-74 years,"2,772",2704,64,780,174,44,50,146,47,107,20,613,177,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic Black,75-84 years,"2,892",2849,58,595,141,179,57,109,41,103,22,695,235,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic Black,85 years and over,"3,372",3326,44,365,115,345,67,92,24,95,55,918,322,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,0-4 years,345,307,,,0,0,,0,,,32,,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,5-14 years,104,73,,15,0,0,11,,,,,,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,15-24 years,322,102,,17,,0,,,,,,16,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,25-34 years,795,370,,73,11,0,14,,,,14,51,10,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,35-44 years,"1,323",855,15,270,44,0,33,14,14,,27,128,27,0,0,05/10/2021,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,45-54 years,"3,211",2610,48,914,113,,92,167,43,34,31,435,87,0,0,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,55-64 years,"8,297",7686,137,"2,781",262,52,203,683,127,96,67,1381,238,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,65-74 years,"14,494",14022,289,"4,603",490,293,308,1460,265,223,102,2583,646,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,75-84 years,"21,744",21134,326,"4,604",563,"1,435",479,2127,420,387,204,4509,1309,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Non-Hispanic White,85 years and over,"37,036",35923,400,"3,415",560,"3,934","1,032",1937,502,574,582,10485,2866,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,0-4 years,37,30,0,,0,0,,,0,0,,,0,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,5-14 years,,,0,0,0,0,0,0,0,0,,0,,0,0,05/10/2021,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,15-24 years,13,,0,,0,0,0,0,0,,0,0,0,0,0,05/10/2021,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,25-34 years,34,17,0,,,0,0,0,0,0,,,,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,35-44 years,34,28,,,,0,,0,0,,0,,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,45-54 years,68,55,0,12,,0,,,0,,,16,,0,0,05/10/2021,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,55-64 years,121,103,,33,,0,0,,,,,26,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,65-74 years,163,156,,44,,,,14,,,0,39,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,75-84 years,166,161,,32,,,,22,,,,32,12,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,F,Other,85 years and over,177,171,0,18,,26,,,,,,44,19,0,0,05/10/2021,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,0-4 years,218,193,,,0,0,,,,,17,,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,5-14 years,52,29,,,0,0,,,,0,0,,0,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,15-24 years,313,70,0,20,,0,,,,,,,,0,0,05/10/2021,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,25-34 years,479,153,,28,,0,,,,0,,30,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,35-44 years,615,348,,56,25,,17,,,,,82,16,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,45-54 years,989,773,12,150,47,,27,11,10,15,,217,40,0,0,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,55-64 years,"1,575",1372,26,360,97,,39,33,20,29,14,349,73,0,0,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,65-74 years,"1,696",1617,19,470,136,22,31,40,35,46,13,388,82,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,75-84 years,"1,681",1610,31,347,111,69,51,65,27,38,,422,115,0,0,05/10/2021,,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Hispanic,85 years and over,"1,565",1534,29,190,70,129,49,77,29,32,14,436,114,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,0-4 years,10,,0,0,0,0,,0,0,0,,0,0,0,0,05/10/2021,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,5-14 years,,,0,0,0,0,0,0,0,0,0,0,0,0,0,05/10/2021,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,15-24 years,25,,0,,,0,0,0,0,0,0,0,0,0,0,05/10/2021,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,25-34 years,54,26,,,,0,,0,0,0,,,0,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,35-44 years,65,40,,,,0,,,0,,,,0,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,45-54 years,89,70,0,,,0,,,0,,,14,,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,55-64 years,194,164,,43,17,0,,,,,,44,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,65-74 years,192,184,,56,13,,,11,,,,46,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,75-84 years,155,147,,30,15,,,12,,,0,32,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic American Indian or Alaska Native,85 years and over,74,73,,10,,,,,,0,,21,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,0-4 years,30,27,0,,0,0,0,0,0,0,0,0,0,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,5-14 years,,,0,0,0,0,,0,0,0,0,0,,0,0,05/10/2021,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,15-24 years,41,10,0,,,0,0,0,0,0,,,,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,25-34 years,84,36,0,,,0,,0,0,0,0,,,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,35-44 years,86,65,0,18,,0,,0,0,,,19,,0,0,05/10/2021,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,45-54 years,216,189,,65,,0,,,,,,50,16,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,55-64 years,403,374,,150,20,,,0,,,,102,20,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,65-74 years,579,551,,199,37,,12,17,12,14,,122,46,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,75-84 years,834,806,12,185,40,20,17,45,23,24,,221,66,0,0,05/10/2021,,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Asian,85 years and over,848,832,,129,24,49,46,45,16,19,,212,78,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Black,0-4 years,309,272,,0,0,0,,,,,39,,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Black,5-14 years,43,19,0,,,0,,,0,0,,,0,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,02/01/2019,02/28/2019,United States
